N,r,epsilon,eta,recall,cr_ann_acc,memory_MB
16000,1.0,0.5,0.8,0.0800,1.0,6.31787109375
16000,1.0,1.0,0.2,1.0000,1.0,2.7783355712890625
16000,1.0,1.0,0.3,1.0000,1.0,1.9007492065429688
16000,1.0,1.0,0.4,1.0000,1.0,1.5181045532226562
16000,1.0,1.0,0.5,1.0000,1.0,1.2872848510742188
16000,1.0,1.0,0.6,0.5400,1.0,1.0995407104492188
16000,1.0,1.0,0.7,0.2000,1.0,1.0223159790039062
16000,1.0,1.0,0.8,0.0400,1.0,0.9464263916015625
2000,1.0,0.5,0.2,1.0000,1.0,2.427654266357422
2000,1.0,0.5,0.3,1.0000,1.0,2.0237083435058594
2000,1.0,0.5,0.4,0.9400,1.0,1.7621078491210938
2000,1.0,0.5,0.5,0.3800,1.0,1.5533485412597656
2000,1.0,0.5,0.6,0.2200,1.0,1.4651260375976562
2000,1.0,0.5,0.7,0.0800,1.0,1.3850212097167969
2000,1.0,0.5,0.8,0.0600,1.0,1.3582611083984375
2000,1.0,1.0,0.2,1.0000,1.0,0.46329498291015625
2000,1.0,1.0,0.3,1.0000,1.0,0.41071319580078125
2000,1.0,1.0,0.4,1.0000,1.0,0.37061309814453125
2000,1.0,1.0,0.5,0.8000,1.0,0.337677001953125
2000,1.0,1.0,0.6,0.4600,1.0,0.31729888916015625
2000,1.0,1.0,0.7,0.2200,1.0,0.305908203125
2000,1.0,1.0,0.8,0.0600,1.0,0.29241180419921875
32000,1.0,0.5,0.2,1.0000,1.0,50.81657791137695
32000,1.0,0.5,0.3,1.0000,1.0,30.392601013183594
32000,1.0,0.5,0.4,1.0000,1.0,21.186355590820312
32000,1.0,0.5,0.5,0.8000,1.0,15.952247619628906
32000,1.0,0.5,0.6,0.2600,1.0,12.73797607421875
32000,1.0,0.5,0.7,0.1000,1.0,10.939712524414062
32000,1.0,0.5,0.8,0.0000,1.0,10.256767272949219
32000,1.0,1.0,0.2,1.0000,1.0,5.150318145751953
32000,1.0,1.0,0.3,1.0000,1.0,3.2544288635253906
32000,1.0,1.0,0.4,1.0000,1.0,2.3567466735839844
32000,1.0,1.0,0.5,1.0000,1.0,1.8664016723632812
32000,1.0,1.0,0.6,0.6800,1.0,1.6202239990234375
32000,1.0,1.0,0.7,0.2000,1.0,1.4826774597167969
32000,1.0,1.0,0.8,0.0400,1.0,1.371917724609375
4000,1.0,0.5,0.2,1.0000,1.0,4.765960693359375
4000,1.0,0.5,0.3,1.0000,1.0,3.8253402709960938
4000,1.0,0.5,0.4,1.0000,1.0,3.1725616455078125
4000,1.0,0.5,0.5,0.6600,1.0,2.8292694091796875
4000,1.0,0.5,0.6,0.2400,1.0,2.4701385498046875
4000,1.0,0.5,0.7,0.1400,1.0,2.329132080078125
4000,1.0,0.5,0.8,0.0200,1.0,2.180755615234375
4000,1.0,1.0,0.2,1.0000,1.0,0.7611923217773438
4000,1.0,1.0,0.3,1.0000,1.0,0.65948486328125
4000,1.0,1.0,0.4,1.0000,1.0,0.5587844848632812
4000,1.0,1.0,0.5,1.0000,1.0,0.5057601928710938
4000,1.0,1.0,0.6,0.4800,1.0,0.4693756103515625
4000,1.0,1.0,0.7,0.2800,1.0,0.4489288330078125
4000,1.0,1.0,0.8,0.1000,1.0,0.43463897705078125
64000,1.0,0.5,0.2,1.0000,1.0,112.9905776977539
64000,1.0,0.5,0.3,1.0000,1.0,64.02783966064453
64000,1.0,0.5,0.4,0.9800,1.0,39.50757598876953
64000,1.0,0.5,0.5,0.4000,1.0,27.49449920654297
64000,1.0,0.5,0.6,0.1000,1.0,21.818359375
64000,1.0,0.5,0.7,0.0000,1.0,18.294479370117188
64000,1.0,1.0,0.2,1.0000,1.0,10.123451232910156
64000,1.0,1.0,0.3,1.0000,1.0,5.968376159667969
64000,1.0,1.0,0.4,1.0000,1.0,3.90240478515625
64000,1.0,1.0,0.5,1.0000,1.0,2.9607315063476562
64000,1.0,1.0,0.6,0.5400,1.0,2.3677978515625
64000,1.0,1.0,0.7,0.2800,1.0,2.1431350708007812
8000,1.0,0.5,0.2,1.0000,1.0,9.999298095703125
8000,1.0,0.5,0.3,1.0000,1.0,7.491962432861328
8000,1.0,0.5,0.4,1.0000,1.0,5.935394287109375
8000,1.0,0.5,0.5,0.5400,1.0,4.787113189697266
8000,1.0,0.5,0.6,0.1200,1.0,4.325702667236328
8000,1.0,0.5,0.7,0.1200,1.0,4.055805206298828
8000,1.0,0.5,0.8,0.0600,1.0,3.770885467529297
8000,1.0,1.0,0.2,1.0000,1.0,1.3944168090820312
8000,1.0,1.0,0.3,1.0000,1.0,1.0655441284179688
8000,1.0,1.0,0.4,1.0000,1.0,0.8717384338378906
